Name;Data Type;Statistical Method;Effect Measure;Analysis Model;Events 1;Mean 1;SD 1;Total 1;Events 2;Mean 2;SD 2;Total 2;Effect Estimate;SE;CI Start;CI End;Weight;Q;P(Q);I²(Q);Tau²;Z;P(Z);Qint;P(Qint);I²(Qint);df;Year of study
Gedik 2016;;;;;31;0;0;32;13;0;0;13;-0.03125;0.0614387;-0.15166763;0.08916763;100;;;;;;;;;;;2016
PRP versus laser applications;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pain;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
3 month;CON;IV;Mean Difference;Random;0;;;27;0;;;29;-1;;-2.12687181;0.12687181;100;0;1;0;0;1.73929631;0.08198266;;;;0;
Tetschke 2015;;;;;0;3.7;2;27;0;4.7;2.3;29;-1;0.57494516;-2.12687181;0.12687181;100;;;;;;;;;;;2015
6 month;CON;IV;Mean Difference;Random;0;;;27;0;;;29;-0.9;;-1.90267315;0.10267315;100;0;1;0;0;1.75926481;0.07853254;;;;0;
Tetschke 2015;;;;;0;2.7;1.6;27;0;3.6;2.2;29;-0.9;0.51157733;-1.90267315;0.10267315;100;;;;;;;;;;;2015
12 month;CON;IV;Mean Difference;Random;0;;;27;0;;;29;-0.9;;-2.02687181;0.22687181;100;0;1;0;0;1.56536668;0.11749696;;;;0;
Tetschke 2015;;;;;0;1.8;2;27;0;2.7;2.3;29;-0.9;0.57494516;-2.02687181;0.22687181;100;;;;;;;;;;;2015
Function;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
3 month;CON;IV;Mean Difference;Random;0;;;27;0;;;29;-9.1;;-20.03175962;1.83175962;100;0;1;0;0;1.63154633;0.10277509;;;;0;
Tetschke 2015;;;;;0;29.8;21;27;0;38.9;20.7;29;-9.1;5.57753087;-20.03175962;1.83175962;100;;;;;;;;;;;2015
6 month;CON;IV;Mean Difference;Random;0;;;27;0;;;29;-2.5;;-13.21597157;8.21597157;100;0;1;0;0;0.45725298;0.64748922;;;;0;
Tetschke 2015;;;;;0;26.5;21.2;27;0;29;19.6;29;-2.5;5.4674329;-13.21597157;8.21597157;100;;;;;;;;;;;2015
12 month;CON;IV;Mean Difference;Random;0;;;27;0;;;29;-8.5;;-19.31909343;2.31909343;100;0;1;0;0;1.53984194;0.12359888;;;;0;
Tetschke 2015;;;;;0;18.2;19.5;27;0;26.7;21.8;29;-8.5;5.52004706;-19.31909343;2.31909343;100;;;;;;;;;;;2015
Adverse events;DIC;MH;Risk Ratio;Random;0;;;27;0;;;29;0;;0;0;0;0;0;0;�;0;0;0;0;0;0;
Tetschke 2015;;;;;0;0;0;27;0;0;0;29;0;0;0;0;0;;;;;;;;;;;2015
Treatment success;DIC;MH;Risk Ratio;Random;;;;;;;;;;;;;;;;;;;;;;;;
Tetschke 2015;;;;;19;0;0;27;14;0;0;29;1.45767196;0.22921683;0.93014377;2.28438615;0;;;;;;;;;;;2015
Autologous blood versus polidocanol injection;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Function;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
6 weeks;CON;IV;Mean Difference;Random;0;;;14;0;;;16;4.4;;-10.75629924;19.55629924;100;0;1;0;0;0.56899388;0.5693603;;;;0;
Branson 2016;;;;;0;13.6;21.5;14;0;9.2;20.7;16;4.4;7.73294783;-10.75629924;19.55629924;100;;;;;;;;;;;2016
3 months;CON;IV;Mean Difference;Random;0;;;14;0;;;16;-2.1;;-16.78356296;12.58356296;100;0;1;0;0;0.28030829;0.77924099;;;;0;
Branson 2016;;;;;0;17.8;18.3;14;0;19.9;22.7;16;-2.1;7.49175142;-16.78356296;12.58356296;100;;;;;;;;;;;2016
6 months;CON;IV;Mean Difference;Random;0;;;14;0;;;16;0.5;;-15.21039379;16.21039379;100;0;1;0;0;0.06237794;0.95026186;;;;0;
Branson 2016;;;;;0;29.4;22.5;14;0;28.9;21.2;16;0.5;8.01565433;-15.21039379;16.21039379;100;;;;;;;;;;;2016
Treatment success;DIC;MH;Risk Ratio;Random;;;;;;;;;;;;;;;;;;;;;;;;
6 weeks;DIC;MH;Risk Ratio;Random;3;;;14;2;;;16;1.71428571;;0.33282792;8.82971438;100;0;1;0;0;0.64449812;0.51925248;;;;0;
Branson 2016;;;;;3;0;0;14;2;0;0;16;1.71428571;0.83630423;0.33282792;8.82971438;100;;;;;;;;;;;2016
3 months;DIC;MH;Risk Ratio;Random;5;;;14;6;;;16;0.95238095;;0.36996963;2.45163224;100;0;0;100;0;0.10113432;0.91944384;;;;0;
Branson 2016;;;;;5;0;0;14;6;0;0;16;0.95238095;0.48242937;0.36996963;2.45163224;100;;;;;;;;;;;2016
6 months;DIC;MH;Risk Ratio;Random;9;;;14;13;;;16;0.79120879;;0.5015294;1.24820469;100;0;1;0;0;1.00682375;0.31401949;;;;0;
Branson 2016;;;;;9;0;0;14;13;0;0;16;0.79120879;0.23260614;0.5015294;1.24820469;100;;;;;;;;;;;2016
PRP vs physical therapy;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean pain;CON;IV;Mean Difference;Random;0;;;61;0;;;59;-11.4;;-18.57731153;-4.22268847;100;0;1;0;0;3.11308619;0.00185142;0;1;0;0;
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;61;0;;;59;-11.4;;-18.57731153;-4.22268847;100;0;1;0;0;3.11308619;0.00185142;;;;0;
Lim 2017;;;;;0;-40.6;16.4015;61;0;-29.2;23.0434;59;-11.4;3.66196093;-18.57731153;-4.22268847;100;;;;;;;;;;;2017
Function;CON;IV;Mean Difference;Random;0;;;55;0;;;50;-7.81;;-12.70929085;-2.91070915;100;0;0;100;0;3.12439477;0.00178171;0;1;0;0;
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;55;0;;;50;-7.81;;-12.70929085;-2.91070915;100;0;0;100;0;3.12439477;0.00178171;;;;0;
Lim 2017;;;;;0;-16.23;14.0584;55;0;-8.42;11.5217;50;-7.81;2.49968412;-12.70929085;-2.91070915;100;;;;;;;;;;;2017
Subgroups PRP and blood versus corticosteroid at 3 months;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean Pain at 3 months;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
PRP;CON;IV;Mean Difference;Random;0;;;95;0;;;95;-1.04097302;;-2.66680291;0.58485688;100;36.05624608;0.00000007;91.67966628;2.04819509;1.25490965;0.20951159;;;;3;
Gautam 2015;;;;;0;1.8;0.6;15;0;1.7;0.5;15;0.1;0.20165978;-0.2952459;0.4952459;32.94157265;;;;;;;;;;;2015
Krogh 2013;;;;;0;-6;9.8;20;0;-7.1;9.8;20;1.1;3.09903211;-4.97399132;7.17399132;5.90535868;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;4.1;1.5;30;0;6.6;1.6;30;-2.5;0.40041645;-3.28480182;-1.71519818;31.15667003;;;;;;;;;;;2015
Yadav 2015;;;;;0;1.6;1.92;30;0;2.8;1.92;30;-1.2;0.49574187;-2.17163621;-0.22836379;29.99639864;;;;;;;;;;;2015
Autologous blood;CON;IV;Mean Difference;Random;0;;;179;0;;;178;-1.07746033;;-1.79656889;-0.35835176;100;14.44277891;0.0130285;65.38062356;0.49260803;2.93666846;0.00331759;;;;5;
Arik 2014;;;;;0;2.1;1.1;40;0;3.7;1.9;40;-1.6;0.3471311;-2.28036445;-0.91963555;21.95612693;;;;;;;;;;;2014
Dojode 2012;;;;;0;0.6;1.9;30;0;1.5;1.8;30;-0.9;0.47784237;-1.83655384;0.03655384;18.67208406;;;;;;;;;;;2012
Gosens 2011;;;;;0;4.02;2.75;51;0;4.55;2.71;49;-0.53;0.54604387;-1.60022631;0.54022631;17.02321129;;;;;;;;;;;2011
Kazemi 2010;;;;;0;1.5;1.2;30;0;4;2.6;30;-2.5;0.5228129;-3.52469446;-1.47530554;17.57507609;;;;;;;;;;;2010
Ozturan 2010;;;;;0;2.55;1.54;18;0;3.05;1.46;20;-0.5;0.48819623;-1.45684702;0.45684702;18.41657551;;;;;;;;;;;2010
Wolf 2011;;;;;0;4;2.5;10;0;3;3;9;1;1.27475488;-1.49847365;3.49847365;6.35692611;;;;;;;;;;;2011
Function at 3 months (various scales);CON;IV;Std. Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
PRP;CON;IV;Std. Mean Difference;Random;0;;;146;0;;;144;-0.81545132;;-1.56763334;-0.06326931;100;34.73241736;0.00000053;88.48338151;0.64326549;2.12482509;0.03360121;;;;4;
Gautam 2015;;;;;0;33.6;5.1;15;0;34.3;3.3;15;-0.15856255;0.36580831;-0.87553367;0.55840856;18.95323294;;;;;;;;;;;2015
Gosens 2011;;;;;0;21.3;22;51;0;32.3;21.7;49;-0.4994881;0.20325996;-0.89787031;-0.10110589;21.51421162;;;;;;;;;;;2011
Krogh 2013;;;;;0;-16.6;19.2;20;0;-13.8;19.2;20;-0.14293598;0.31667537;-0.76360829;0.47773633;19.80798256;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;46.3;5.1;30;0;64.3;8.2;30;-2.60187213;0.35643522;-3.30047234;-1.90327193;19.11979775;;;;;;;;;;;2015
Yadav 2015;;;;;0;34.2;13.5;30;0;44.3;13.5;30;-0.73843194;0.26745101;-1.26262629;-0.21423759;20.60477513;;;;;;;;;;;2015
Autologous blood;CON;IV;Std. Mean Difference;Random;0;;;112;0;;;113;-0.59092823;;-1.22132535;0.03946889;100;19.29023409;0.00068918;79.26411892;0.40131737;1.83725148;0.06617278;;;;4;
Arik 2014;;;;;0;19.4;9.1;40;0;34.5;17.5;40;-1.0721955;0.23991084;-1.54241212;-0.60197889;22.54437802;;;;;;;;;;;2014
Branson 2016;;;;;0;17.8;18.3;14;0;17.9;22.5;14;-0.00473417;0.37796509;-0.74553213;0.73606379;19.01050665;;;;;;;;;;;2016
Kazemi 2010;;;;;0;6.9;12.6;30;0;32.4;19.4;30;-1.53869469;0.29628223;-2.11939719;-0.95799218;21.15115687;;;;;;;;;;;2010
Ozturan 2010;;;;;0;19.5;12;18;0;20.6;6.8;20;-0.11203101;0.32517657;-0.74936538;0.52530336;20.4021215;;;;;;;;;;;2010
Wolf 2011;;;;;0;28;22.4;10;0;28;24.2;9;0;0.45946829;-0.9005413;0.9005413;16.89183696;;;;;;;;;;;2011
Grip Strength;CON;IV;Std. Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
PRP;CON;IV;Std. Mean Difference;Random;0;;;45;0;;;45;0.53183972;;-0.55185226;1.61553169;100;5.83396633;0.01571968;82.8590029;0.50770997;0.96188466;0.33610756;;;;1;
Gautam 2015;;;;;0;25.5;5.6;15;0;25.8;6.7;15;-0.04727343;0.36520708;-0.76306615;0.66851929;47.68690304;;;;;;;;;;;2015
Yadav 2015;;;;;0;156.6;19;30;0;136.2;19;30;1.05974026;0.27691725;0.51699243;1.60248809;52.31309696;;;;;;;;;;;2015
Autologous blood;CON;IV;Std. Mean Difference;Random;0;;;88;0;;;90;0.50709884;;-0.12105096;1.13524865;100;8.1619436;0.01689111;75.4960326;0.23146953;1.58225867;0.11359053;;;;2;
Arik 2014;;;;;0;34.9;29.1;40;0;20;25.8;40;0.53660051;0.22780002;0.09012068;0.98308034;36.24833613;;;;;;;;;;;2014
Kazemi 2010;;;;;0;47.8;15;30;0;31.1;15.7;30;1.07353966;0.27739091;0.52986346;1.61721586;33.30384854;;;;;;;;;;;2010
Ozturan 2010;;;;;0;38;6.56;18;0;39.2;9.03;20;-0.14759658;0.32538493;-0.78533933;0.49014617;30.44781533;;;;;;;;;;;2010
Subgroup leucocyte rich versus leucocyte poor PRP at 3 months;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean pain;CON;IV;Mean Difference;Random;0;;;250;0;;;235;-0.15169098;;-0.55924193;0.25585997;100;6.85922054;0.3340631;12.52650411;0.0387402;0.72950109;0.46569521;0.09618653;0.75645487;0;6;
Leucocyte rich;CON;IV;Mean Difference;Random;0;;;151;0;;;141;-0.20756132;;-0.71050397;0.29538132;50.75452955;1.52992087;0.46535247;0;0;0.80886503;0.41859279;;;;2;
Krogh 2013;;;;;0;2.15;0.98;20;0;2.17;0.98;20;-0.02;0.30990321;-0.62739913;0.58739913;32.08052885;;;;;;;;;;;
Mishra 2014;;;;;0;-5.5;3.8;101;0;-4.7;3.8;91;-0.8;0.5492282;-1.87646749;0.27646749;12.70247984;;;;;;;;;;;2014
Yerlikaya 2018;;;;;0;3.2;3.4;30;0;3.4;3;30;-0.2;0.82784862;-1.82255347;1.42255347;5.97152086;;;;;;;;;;;2018
Leucocyte poor;CON;IV;Mean Difference;Random;0;;;99;0;;;94;-0.06736152;;-0.79678694;0.6620639;49.24547045;5.1832894;0.15885765;42.1216959;0.23157846;0.18100021;0.85636741;;;;3;
Behera 2015;;;;;0;4.3;1.6;15;0;5.2;0.97;10;-0.9;0.51454511;-1.90848988;0.10848988;14.24667154;;;;;;;;;;;2015
Martin 2019;;;;;0;3.45;1.9;29;0;2.72;1.9;29;0.73;0.49896444;-0.24795234;1.70795234;15.02862094;;;;;;;;;;;2019
Montalvan 2015;;;;;0;3.6;1.9;25;0;3.7;1.9;25;-0.1;0.53740115;-1.15328691;0.95328691;13.20088397;;;;;;;;;;;2015
Yerlikaya 2018;;;;;0;3.4;3;30;0;3.4;3;30;0;0.77459667;-1.51818157;1.51818157;6.769294;;;;;;;;;;;2018
Function;CON;IV;Mean Difference;Random;0;;;211;0;;;193;-1.89735527;;-5.61018289;1.81547235;100;6.30287394;0.27785348;20.67110895;4.44559679;1.00159458;0.31653946;0.21715855;0.64121356;0;5;
Leucocyte rich;CON;IV;Mean Difference;Random;0;;;141;0;;;131;-2.33664319;;-6.90741977;2.2341334;46.84965377;0.17301416;0.91712909;0;0;1.00196026;0.3163628;;;;2;
Krogh 2013;;;;;0;34.9;19.2;20;0;39.5;19.2;20;-4.6;6.07157311;-16.50006462;7.30006462;8.68685223;;;;;;;;;;;
Mishra 2014;;;;;0;27.05;19.2;101;0;28.88;19.2;91;-1.83;2.77504775;-7.26899364;3.60899364;29.54355192;;;;;;;;;;;2014
Palacio 2016;;;;;0;13;21;20;0;15.5;17.4;20;-2.5;6.09819645;-14.45224542;9.45224542;8.61924962;;;;;;;;;;;2016
Leucocyte poor;CON;IV;Mean Difference;Random;0;;;70;0;;;62;-0.09010388;;-8.35972215;8.17951439;53.15034623;6.12307749;0.04681576;67.33668645;35.7318309;0.02135532;0.98296221;;;;2;
Behera 2015;;;;;0;15.3;9.2;15;0;21.9;5.3;10;-6.6;2.90717503;-12.29795836;-0.90204164;27.82376001;;;;;;;;;;;2015
Martin 2019;;;;;0;28.35;18.2;30;0;22.28;18.2;27;6.07;4.82798938;-3.39268531;15.53268531;12.92917857;;;;;;;;;;;2019
Montalvan 2015;;;;;0;75;17.5;25;0;72.5;17.5;25;2.5;4.94974747;-7.20132677;12.20132677;12.39740765;;;;;;;;;;;2015
Treatment success;DIC;MH;Risk Ratio;Random;113;;;192;112;;;190;0.8987245;;0.65119538;1.24034316;100;5.96667094;0.11324311;49.72070639;0.04938758;0.64960905;0.51594479;1.2596416;0.26171904;20.61233898;3;
Leucocyte rich;DIC;MH;Risk Ratio;Random;90;;;137;83;;;138;1.0302509;;0.6671987;1.59085579;58.30974297;1.5203719;0.21756364;34.22661933;0.05344686;0.13444333;0.89305202;;;;1;
Mishra 2014;;;;;84;0;0;112;74;0;0;113;1.14527027;0.08740793;0.96495313;1.35928259;47.37829135;;;;;;;;;;;2014
Palacio 2016;;;;;6;0;0;25;9;0;0;25;0.66666667;0.44472214;0.27884353;1.59388473;10.93145162;;;;;;;;;;;2016
Leucocyte poor;DIC;MH;Risk Ratio;Random;23;;;55;29;;;52;0.74805757;;0.52626802;1.06331774;41.69025703;0.08896141;0.7655017;0;0;1.61779605;0.10570656;;;;1;
Martin 2019;;;;;17;0;0;30;20;0;0;27;0.765;0.19609477;0.52088909;1.12351172;30.75880541;;;;;;;;;;;2019
Montalvan 2015;;;;;6;0;0;25;9;0;0;25;0.66666667;0.44472214;0.27884353;1.59388473;10.93145162;;;;;;;;;;;2015
Adverse events;DIC;MH;Risk Ratio;Random;41;;;217;35;;;208;1.14409102;;0.76075128;1.72059424;100;1.94993853;0.74496629;0;0;0.64655226;0.51792177;0.00032172;0.98568947;0;4;
Leucocyte rich;DIC;MH;Risk Ratio;Random;29;;;136;25;;;134;1.1414729;;0.70722097;1.84236674;72.65447244;0.05698738;0.81132249;0;0;0.54172603;0.58800726;;;;1;
Krogh 2013;;;;;4;0;0;20;3;0;0;20;1.33333333;0.69522179;0.34132247;5.20849912;8.96816438;;;;;;;;;;;
Mishra 2014;;;;;25;0;0;116;22;0;0;114;1.11677116;0.26088681;0.66972566;1.86222195;63.68630806;;;;;;;;;;;2014
Leucocyte poor;DIC;MH;Risk Ratio;Random;12;;;81;10;;;74;1.15107632;;0.52748451;2.51187792;27.34552756;1.89577504;0.38755894;0;0;0.35338994;0.72379613;;;;2;
Behera 2015;;;;;0;0;0;15;1;0;0;10;0.22916667;1.5853257;0.0102499;5.12369336;1.72469898;;;;;;;;;;;2015
Martin 2019;;;;;6;0;0;41;6;0;0;39;0.95121951;0.53226127;0.3351345;2.69986698;15.30032195;;;;;;;;;;;2019
Montalvan 2015;;;;;6;0;0;25;3;0;0;25;2;0.64807407;0.56154989;7.12314269;10.32050663;;;;;;;;;;;2015
PRP or autologous blood versus steroid injection using MD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean Pain;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
upto 3 weeks;CON;IV;Mean Difference;Random;0;;;140;0;;;140;2.06271232;;0.67422888;3.45119576;100;46.95698311;0;91.48156518;2.15456026;2.91169613;0.00359472;;;;4;
Arik 2014;;;;;0;5.3;1.4;40;0;1.7;0.9;40;3.6;0.26315395;3.08422774;4.11577226;22.56771024;;;;;;;;;;;2014
Dojode 2012;;;;;0;7.2;1.9;30;0;4.5;1.9;30;2.7;0.49057789;1.738485;3.661515;20.95263084;;;;;;;;;;;2012
Gautam 2015;;;;;0;4.5;3.8;15;0;2.1;2.7;15;2.4;1.20360569;0.04097619;4.75902381;13.92815568;;;;;;;;;;;2015
Jindal 2013;;;;;0;4.24;1.64;25;0;3.52;1.19;25;0.72;0.40525054;-0.07427646;1.51427646;21.64333261;;;;;;;;;;;2013
Yadav 2015;;;;;0;5.93;1.92;30;0;5;1.92;30;0.93;0.49574187;-0.04163621;1.90163621;20.90817063;;;;;;;;;;;2015
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;314;0;;;313;0.87510815;;0.05913612;1.69108019;100;94.07775305;0;88.30754387;1.72819219;2.10200888;0.0355525;;;;11;
Arik 2014;;;;;0;3.6;1.2;40;0;2.5;1.1;40;1.1;0.25739075;0.59552339;1.60447661;9.65883831;;;;;;;;;;;2014
Dojode 2012;;;;;0;3.2;2.4;30;0;1.5;2.3;30;1.7;0.60690472;0.51048862;2.88951138;8.26711947;;;;;;;;;;;2012
Gautam 2015;;;;;0;2.7;3.0984;15;0;1.4;1.9365;15;1.3;0.94340217;-0.54903428;3.14903428;6.61990223;;;;;;;;;;;2015
Gosens 2011;;;;;0;5.57;2.41;51;0;4.43;2.63;49;1.14;0.50502033;0.15017833;2.12982167;8.73935924;;;;;;;;;;;2011
Jindal 2013;;;;;0;1.52;1.26;25;0;2.28;1.28;25;-0.76;0.35922138;-1.46406097;-0.05593903;9.33228869;;;;;;;;;;;2013
Kazemi 2010;;;;;0;2.7;0.9;30;0;4.5;2.5;30;-1.8;0.48511167;-2.7508014;-0.8491986;8.82709533;;;;;;;;;;;2010
Krogh 2013;;;;;0;5.4;1.96;20;0;3.64;1.96;20;1.76;0.61980642;0.54520174;2.97479826;8.20517859;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;6.95;1.7;30;0;6.35;1.6;30;0.6;0.42622373;-0.23538316;1.43538316;9.07513501;;;;;;;;;;;2015
Omar 2012;;;;;0;3.8;1.9;15;0;4.3;2.1;15;-0.5;0.73120904;-1.93314339;0.93314339;7.65943794;;;;;;;;;;;2012
Ozturan 2010;;;;;0;5.05;1.21;18;0;1.85;1.3;20;3.2;0.40723321;2.40183757;3.99816243;9.15097284;;;;;;;;;;;2010
Wolf 2011;;;;;0;5;3.1;10;0;3;1.8;9;2;1.14934764;-0.25267998;4.25267998;5.68420286;;;;;;;;;;;2011
Yadav 2015;;;;;0;4.6;1.92;30;0;3.4;1.92;30;1.2;0.49574187;0.22836379;2.17163621;8.78046949;;;;;;;;;;;2015
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;274;0;;;273;-1.04210513;;-1.6636016;-0.42060866;100;32.09570837;0.00019168;71.95886784;0.67845336;3.28640405;0.00101475;;;;9;
Arik 2014;;;;;0;2.1;1.1;40;0;3.7;1.9;40;-1.6;0.3471311;-2.28036445;-0.91963555;12.58518853;;;;;;;;;;;2014
Dojode 2012;;;;;0;0.6;1.9;30;0;1.5;1.8;30;-0.9;0.47784237;-1.83655384;0.03655384;11.08858206;;;;;;;;;;;2012
Gautam 2015;;;;;0;1.8;2.3238;15;0;1.7;1.9365;15;0.1;0.78102833;-1.43078739;1.63078739;7.80388179;;;;;;;;;;;2015
Gosens 2011;;;;;0;4.02;2.75;51;0;4.55;2.71;49;-0.53;0.54604387;-1.60022631;0.54022631;10.29572076;;;;;;;;;;;2011
Kazemi 2010;;;;;0;1.5;1.2;30;0;4;2.6;30;-2.5;0.5228129;-3.52469446;-1.47530554;10.56431943;;;;;;;;;;;2010
Krogh 2013;;;;;0;4.3;1.96;20;0;4.18;1.96;20;0.12;0.61980642;-1.09479826;1.33479826;9.46249975;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;4.1;1.5;30;0;6.6;1.6;30;-2.5;0.40041645;-3.28480182;-1.71519818;11.98752763;;;;;;;;;;;2015
Ozturan 2010;;;;;0;2.55;1.54;18;0;3.05;1.46;20;-0.5;0.48819623;-1.45684702;0.45684702;10.96760496;;;;;;;;;;;2010
Wolf 2011;;;;;0;4;2.5;10;0;3;3;9;1;1.27475488;-1.49847365;3.49847365;4.36517571;;;;;;;;;;;2011
Yadav 2015;;;;;0;1.6;1.92;30;0;2.8;1.92;30;-1.2;0.49574187;-2.17163621;-0.22836379;10.87949936;;;;;;;;;;;2015
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;214;0;;;213;-1.662221;;-2.26527333;-1.05916868;100;15.29835864;0.03235952;54.24345732;0.38769041;5.40233936;0.00000007;;;;7;
Arik 2014;;;;;0;0.6;1.3;40;0;2.7;2.9;40;-2.1;0.50249378;-3.08486971;-1.11513029;14.78783667;;;;;;;;;;;2014
Dojode 2012;;;;;0;0.5;1.9;30;0;1.8;2;30;-1.3;0.50365332;-2.28714237;-0.31285763;14.76093672;;;;;;;;;;;2012
Gautam 2015;;;;;0;1.6;1.9365;15;0;2.9;4.6476;15;-1.3;1.30000559;-3.84796414;1.24796414;4.55648489;;;;;;;;;;;2015
Gosens 2011;;;;;0;3.29;3.08;51;0;5.58;2.41;49;-2.29;0.55185188;-3.37160981;-1.20839019;13.67611751;;;;;;;;;;;2011
Krogh 2013;;;;;0;3.84;1.96;20;0;5.28;1.96;20;-1.44;0.61980642;-2.65479826;-0.22520174;12.26537046;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;5.05;2;30;0;7.55;1.7;30;-2.5;0.4792355;-3.43928432;-1.56071568;15.33477396;;;;;;;;;;;2015
Ozturan 2010;;;;;0;2.44;1.37;18;0;4.35;1.34;20;-1.91;0.44051359;-2.77339077;-1.04660923;16.27357306;;;;;;;;;;;2010
Wolf 2011;;;;;0;3;2.3;10;0;2;1.4;9;1;0.86416305;-0.69372846;2.69372846;8.34490672;;;;;;;;;;;2011
>6 months to 1 year;CON;IV;Mean Difference;Random;0;;;89;0;;;89;-1.94556011;;-2.53751106;-1.35360916;100;0.67127687;0.7148816;0;0;6.44179682;0;;;;2;
Gosens 2011;;;;;0;2.59;3.06;51;0;4.88;2.7;49;-2.29;0.57652017;-3.41995878;-1.16004122;27.44392634;;;;;;;;;;;2011
Krogh 2013;;;;;0;3.9;1.96;20;0;5.5;1.96;20;-1.6;0.61980642;-2.81479826;-0.38520174;23.74450495;;;;;;;;;;;
Ozturan 2010;;;;;0;2.33;1.18;18;0;4.25;1.48;20;-1.92;0.43229105;-2.7672749;-1.0727251;48.81156871;;;;;;;;;;;2010
>1 year;CON;IV;Mean Difference;Random;0;;;51;0;;;49;-21.1;;-31.86027514;-10.33972486;100;0;1;0;0;3.84332552;0.00012138;;;;0;
Gosens 2011;;;;;0;21.3;28.1;51;0;42.4;26.8;49;-21.1;5.49003718;-31.86027514;-10.33972486;100;;;;;;;;;;;2011
